,Text,Emotions
246,"🚨 SUNDAY SPECIAL ALERT 🚨

We Will Be Opening At 9a Tomorrow For The Argentina vs. France Match⚽️

👉 Kitchen Open Early 

#Specials…$5 @ModeloUSA 16oz Cans, $5 @TitosVodka &amp; $20 @CoronaUSA Family (Extra, Light, Premier) Buckets

#WorldCup2022 #OpenEarly #Finals https://t.co/4AUq0Kr77J","['excitement', 'joy']"
247,"Still selling very fast...

Don't wait for the track ""sope otilo!""
Hey... we are the best brand when it comes to hair extensions (also known as wigs and weaves).

#hairextensions #lolhairline #Christmas #promo #BlackFriday #WorldCup2022 #spendthismoney #lookgood #hairstyle #wigs https://t.co/XQnsF0pANR","['admiration', 'amusement']"
248,"France 🇫🇷 vs Argentina 🇦🇷 in all its glory. A #WorldCup final worth waking up for ! 9 am CT 
Who’s side are you on ? 

#fyp #explorepage #soccer #messi #mbappe #houston #espn #argentina #france #final #worldcup2022 https://t.co/PIYt35mv4y","['confusion', 'curiosity']"
249,"@kombo_ii @Arap_kanjawei Nothing is funny, it's just you acknowledging France will lift yet again #WorldCup2022","['amusement', 'approval', 'caring', 'optimism']"
250,"COME BET ON THE WORLD CUP ON KUTT! #WorldCup #WorldCup2022 #ArgentinaVsFrance 

https://t.co/dvO3yc6XLt

(If you have a prop bet you want to bet on that we’re not offering, just DM us and we’ll try to get it posted in time.) https://t.co/96x2kX4pXY","['confusion', 'disapproval']"
251,"Amazing giveaway from @The_NFTMarkets, who do you think will #ArgentinaVsFrance? #Winner Announced before Final!

- Follow @The_NFTMarkets
- Retweet 
- Comment #Argentina or #France 

$1,000 Giveaway! 🔥

#WorldCup2022 #QatarWorldCup2022 #QatarWorldCup https://t.co/o5ljiP4Dph","['admiration', 'curiosity']"
252,@EmiratesSupport -first my luggage was broken during travel and now it’s been 2 weeks that I am struggling to get resolution to my complaint. Why it’s taking so long for airline to fix traveller complaint. Emirates Ref. DXB/X/LC/071222/7837148 #Traveller #WorldCup2022 https://t.co/by9UlaZbQP,"['disappointment', 'sadness']"
253,"Money isn't everything 🎶🎶 🇭🇷❤️

#NotAllThatGlittersIsGold #Croatia #WorldCup2022 https://t.co/k8tL3ZlwGn",['disapproval']
254,"The #WorldCup2022 finally comes to a close tomorrow! ⚽️

Who do you think will win? 🇫🇷🇦🇷

That means our World Cup MetaBear competition also comes to a close tomorrow with winners announced later in the week 💪

Still time to submit your last efforts: https://t.co/Fa9lCowe3E https://t.co/IAPHU4hd2r","['confusion', 'curiosity']"
255,"@Walmart GOAL! 

#WorldCup #WorldCup2022","['desire', 'excitement']"
256,"@robertmdaws If the French team with one of the finest midfields ever, Platini, Tigana and Giresse had had a top goalscorer in front of them, a World Cup could have been theirs. 
Wonderful player, wonderful team
#Englishfootball
#WorldCup2022 
#ThreeLions","['admiration', 'excitement']"
257,"Catch up with the latest MetaTdex development news 📈📈

#MetaTdex #TdexToken #WEB3 #Cryptos #NFTs #DeFi #GameFi #WorldCup2022 #Polygon

https://t.co/cqMWLvXPZ7","['confusion', 'curiosity']"
258,"If you’re bewitched by Argentina at #worldcup2022, here’s why via @NYTimes https://t.co/C3Hm4V5ivR","['confusion', 'curiosity']"
259,"Watch the World Cup visiting the world. 

Peak District National Park, Great #Britain.

#GreatBritain #NationalPark
#visituk #worldcup2022 #sports #FIFAWorldCup #WorldCupQatar2022 #world #goal #regs #facebookfootball #flag #drapeau #linkedinfootball #twit…https://t.co/6ny14UShn2",['admiration']
260,Another impressive finish: #Croatia edges #Morocco for third place at #WorldCup https://t.co/CdvynLrIeC #Qatar2022 #WorldCup2022 #FIFAWorldCup,"['admiration', 'confusion']"
261,"@Saudi_Gazette Argentina- 2
France-1

Argentina will win🇦🇷 
#WorldCup2022","['approval', 'excitement', 'optimism']"
262,Thanks to all of you @EnMaroc @FRMFOFFICIEL #Morocco 🇲🇦 #WorldcupQatar2022 #WorldCup2022 #FIFA https://t.co/OV3LdwiqYl,['gratitude']
263,@Saudi_Gazette ARG 2 and FRA 1 #WorldCup #WorldCup2022,"['approval', 'realization']"
264,"If Deschamps brings Benzema back in tomorrow for Giroud........

#worldcup2022 https://t.co/I59hg3c3dz",['confusion']
265,"How many goals will France score in the final? #WorldCup2022 #AllezLesBleus 
Me: https://t.co/SSeaxsLs0U","['confusion', 'curiosity']"
266,"We made everyone look who we were, the dreamers, who made it happen, because we believed it.

THANK YOU, OUR MOUNTAKHAB ❤️💚

#Morocco #WorldCup2022",['gratitude']
267,"Antivaxxers have to STOP claiming Grant Wahl died from the Pfizer COVID vaccine!
https://t.co/H4516T0WVz

#TechARP #GrantWahl #FIFAWorldCup #Qatar #WorldCup2022 #Death #Tragedy #Vaccine #Vaccination #SuddenDeath #DiedSuddenly #Facts #FactsMatter #FactCheck #Football #Soccer #SADS",['grief']
268,"Congrats my man😁, he was behind most of the trophies in Madrid, he's not a Noisy 🐐, does his best always.... Being second place in the last WC and now Third place isn't an easy feat...  You've made history 🐐

Big congrats Luka🎉

#WorldCup2022 #CROMOR https://t.co/hIoRJhqcIG","['excitement', 'gratitude', 'pride', 'surprise']"
269,"Tomorrow at 2pm on twitch I'll be watching The World Cup Final. 🔥 

Grab a beer or a cup of tea and watch it with me! 🇦🇷 🇫🇷

#WorldCup2022 #WorldCupFinal #Watchalong https://t.co/KbLSGloJOq","['excitement', 'joy']"
270,"May Every and each Day‼️
Full of Joy 🤩 
L♥️ve ♥️🕊🌹
And Prosperity 🕊🥳
For All Of Us 🤲
Amin🤲
#New_Year_2023
#WorldCup2022 https://t.co/VlMWaW0W2K","['excitement', 'joy', 'love']"
271,"It was a great moment with the Croatian fans. 
#WorldCup2022 
#Croatia https://t.co/sha53l6E9F",['admiration']
272,"Do not forget to comment your prediction for tomorrow!
The winner gets a free NFT (value : 50$)

#nft #p2e #WorldCup2022 #FranceVsArgentina  #football https://t.co/lNWQOeLkNU","['approval', 'caring', 'optimism']"
273,"If I’m nervous for tomorrow’s #WorldCup2022 Final, I can only imagine how much more are my Argentinian friends. Tomorrow is gonna be a crazy day.","['excitement', 'fear', 'nervousness']"
274,"World Cup Playoff

Full Time

Morocco 1-2 Croatia

#worldcup2022 #worldcup #qatar #morocco #croatia https://t.co/ZIh68ZxU5C",['annoyance']
275,@elonmusk will you congratulate small Croatia for a big win in #WorldCup2022 or are you threatened by Rimac?,"['confusion', 'curiosity']"
276,"When you realise that the World Cup will end in the next 21 hours 🙃

And these legends won't feature in a World Cup anymore 💔

#Ronaldo #Neymar #WorldCup2022 https://t.co/TZAmvpbDTi","['disappointment', 'grief', 'realization', 'sadness']"
277,"World Cup Playoff

Full Time

Morocco 1-2 Croatia

#worldcup2022 #worldcup #qatar #morocco #croatia https://t.co/xS5vhF6BgA",['approval']
278,Thanks to @MYANC I will be able to watch the #WorldCup2022 final without any interruptions 😅💀 https://t.co/usbGV9q9x4,['gratitude']
279,The last sleep before our whole lives could be changed forever 🙏 #Messi #argentina #barcelona #WorldCup2022,"['approval', 'realization']"
280,"Can't believe I managed to see the football elite at the worlds biggest stage in the world. 

Portugal x Uruguay
Argentina x Poland
Spain x Germany
France x England
Argentina x Netherlands
Argentina x Croatia

Blessed of the country I call home 🫶 #WorldCup2022 #Qatar",['surprise']
281,"#worldcupfinals 
Argentina 🇦🇷 and France 🇫🇷 have faced each other 12 times which Argentina 🇦🇷 have recorded 6 wins &amp; 3 draws out of 12 while France 🇫🇷have just 3 wins in this fixture.
#WorldCup #WorldCup2022 https://t.co/tTMPoK8WpD","['curiosity', 'excitement']"
282,"Argentina 2 vs 1 France 

✒Thanks for the time✔📗📥 
✒I hope to be a winner💰🎊

@edu_421
@karyv99
@GamerFire97

#WorldCup2022 #FIFAWorldCup https://t.co/VxcGegEDkk","['desire', 'gratitude', 'optimism']"
283,"hi come on 
@Anandas81516489 

#NFTGiveaways, #NBOXOfficial, #WorldCup2022 https://t.co/3xXoYtfV5I",[]
284,"Selling 2 tickets for the World Cup final,on Sunday please text me if you want it #WorldCup2022 #QatarWorldCup2022 #FIFAWorldCupQatar2022 https://t.co/GQaJKMjZ4y","['approval', 'curiosity']"
285,"This time tomorrow we'll be watching the last few minutes before Messi lifts the World Cup, his name on a million backs. 

#Messi #WorldCup2022 #QatarWorldCup","['desire', 'excitement', 'optimism']"
286,"#Hrvatska!
To Split… Zagreb…. Dalmatia and all my friends from Croatia.
Well done, Morocco, you did great. 
🇭🇷⚽️
#WorldCup2022",['admiration']
287,"🚨🇫🇷 @_OlivierGiroud_ is a DOUBT for tommorow match against @Argentina due to a knee injury 🩸

#WorldCup2022 
#FIFAWorldCup 
#Olt_in_Qatar https://t.co/BuZjegtfwo","['confusion', 'nervousness']"
288,"#Spooort1 🎙@KMbappe An upcoming legend in the football world.  Tomorrow the #WorldCup final is the hope of #France, Europe and the world as well .

#FIFAWorldCup
#WorldCup2022
#Qatar2022
#Spooort1 
🔻Various sports🔻
https://t.co/kyGNfFyVgl 
-
🎥 #Mbappe https://t.co/zidE1tthH6","['excitement', 'optimism']"
289,"⛳️If #tigerwoods wins the #PNCchampionship, would that make him your 🐐?  😆

https://t.co/pdILbKjgMT 👇

@PGATOUR | #WorldCup2022 | #GOAT𓃵 https://t.co/SpDT6F8kdO",['curiosity']
290,so @Martosonic 🇦🇷 @stickyfingersFR 🇫🇷 anything fun or exciting going on for you guys tomorrow ??? 👀 #WorldCup2022 https://t.co/cJ6Wjt5fBq,"['confusion', 'curiosity']"
291,Not sure what I’m feeling about tomorrows #WorldCup2022 final.,['confusion']
292,"@Saudi_Gazette Argentina will win from France by 2-1

#WorldCup2022","['approval', 'optimism']"
293,"#Croatia  beat #Morocco  2-1 to take 3rd place at #WorldCup  
#MoroccovsCroatia #WorldCup2022 https://t.co/bxfzTMpN9z","['approval', 'excitement']"
294,"Paris Saint Germain (PSG) becomes world top Football Club with it's two Super Stars Lionel Messi and Kyrian Mbappé at the final of FIFA World Cup 2022

#LionelMessi #KyrianMbappé
#ParisSaintGermain #psg #france 
#FIFA #worldcup2022 #sports #FIFAWorldCup #…https://t.co/5Dzi5mYAK7","['admiration', 'excitement']"
295,Soccer's Holy Grail: The history of the #WorldCup trophy https://t.co/l06XORckTL #WorldCup2022 #Qatar2022 #WorldCupQatar2022 #FIFAWorldCup,"['approval', 'realization']"
296,"France and Argentina hope to add their names to this list (again). https://t.co/WVdCoAmv9x #WorldCup
#WorldCup2022","['desire', 'optimism']"
297,"Qatar 2022🏆 Final Preview: The final match scheduled for tomorrow - #Argentina🇦🇷 #France🇫🇷  ⚽ 3:00pm.
@FIFAWorldCup #FIFAWorldCup #WorldCup2022 @afa @equipedefrance 

Read our Match Preview here ➡️ https://t.co/dFREnLnJF5

https://t.co/28wPL4Bx1z
https://t.co/shZTdwqrRv https://t.co/9BDEGWMfy6","['approval', 'excitement', 'optimism', 'realization']"
298,"If he fails to uphold his contractual obligations then they should sue him and recover the relevant payments. Otherwise why complain? If they paid him that insane fortune, then his job requirements should have been clear and iron-clad. #WorldCup2022 https://t.co/rk7X3KpgQF","['annoyance', 'curiosity']"
299,"Tbh the only reason I was watching the WC

#Croatia #WorldCup2022 #Gvardiol https://t.co/8zyV1Ew0sh","['annoyance', 'embarrassment']"
300,"Argentina vs France, Lionel Messi vs Kylian Mbappe. The thrilling heavyweight finish that this sensational 2022 World Cup has deserved.

Make your pick now ➡️ https://t.co/J0kBTVFacS

#Qatar2022 #WorldcupQatar2022 #sbgEU #WorldCup2022 #FIFAWorldCupQatar2022 #FIFAWorldCup https://t.co/DuGOJxMyr2","['admiration', 'approval']"
301,"The moment is set as we discover who will have the title of World Champions when Argentina faces France in the 2022 FIFA World Cup final.

Get spread &amp; odds ➡️ https://t.co/UKWWOdVYPZ

#Qatar2022 #WorldcupQatar2022 #betnowEU #WorldCup2022 #FIFAWorldCupQatar2022 #FIFAWorldCup https://t.co/y3ynkH8tZi","['confusion', 'curiosity', 'excitement', 'realization']"
302,Is the Mexican International Team a bunch of losers?! #worldcup #mexicanfutbol #worldcup2022 #podcastseries #threebabosos https://t.co/zvrPFVwuWV,"['confusion', 'curiosity']"
303,"Bedroom Winter Slippers
19% off code: ZFTW18 @zaful_official 
SHOP&gt;&gt;https://t.co/b6xsq4sH6R

#WorldCup #WorldCup2022 #UFC280 #taksim #Yellowstone #RHOM  #PriyanKit   #YetToCome #andTEAM   #taksim #XRPayNet  #BiggBoss16 #BB16 #BSC #Cowboys #WhiteLotus #Bengals https://t.co/Jj59HRvvtN",['confusion']
304,"Listen in: #USMNT legend @marcelobalboa17 talks about his career, #WorldCup and #Qatar2022 on the latest View From The Front Row podcast https://t.co/DSF0NwhqWF #WorldCup2022 #MarceloBalboa #Qatar #Rapids96","['approval', 'caring', 'realization']"
305,"@SuperExet Winner : #ARG

Argentina 🇦🇷 2 : 1 France 🇫🇷

@lovely_second
@Chanaka44928957
@Sltere_3456

#Giveaway #SuperEx
#WorldCup2022","['excitement', 'joy', 'love']"
306,"Betting has never been better With Coral

1. New Customers
2. Place £€5 bet on any market
3. Free bets paid as 4x £€5
Coral Link Below
https://t.co/1Di5RX247L

.
18+T&amp;Cs GambleAwear
#Offers #bet #FIFAWorldCup 
#sportsbetting #WorldCup2022 #gamblingtwitter
#HorseRacing #Ad.0 https://t.co/Gp8PpCxvkB","['approval', 'realization']"
307,"Just for YOU 🔥🔥🤩 Check out our unique collection 👌🤩🤩
Don't miss the BIG SALE 🔥🔥🔥
Free Shipping 🌍✈️
https://t.co/cGwfEBzJT6

#blackfridayshoppingonline #worldcup nline #worldcup #WorldCup2022 https://t.co/J2JpgwyAKv","['approval', 'caring', 'excitement']"
308,"After their offensive remarks toward 3 Moroccan players, the #German channel apologized to #Morocco and its players. 
“We sincerely apologize for this error. We recognize that IS has appropriated this symbol.""

#WorldCup2022 https://t.co/crszDNi9bX","['remorse', 'sadness']"
309,"I predicted Argentina 🇦🇷 will beat France 🇫🇷 in the 2022 World Cup final.
Play @AJEnglish’s #WorldCup2022 AI predictor game.
https://t.co/FpCIdaJdpK","['approval', 'excitement', 'optimism']"
310,"After 8 long years, finely tomorrow Messi well win the world cup🏆
 #argentina #WorldCup2022 #WorldcupQatar2022 #France #Messi𓃵 https://t.co/cynL4K8vDm","['confusion', 'optimism']"
311,It was a good run #MAR. #FIFAWorldCup #QuatarWorldCup2022 #WorldCup2022,['admiration']
312,"What an incredible goal the PSG great scored in the 96th minute to win his nation the third World Cup, following an outstanding assist from the Atletico Madrid player against the Premier League goalkeeper.
#WorldCup2022 
#ArgentinaVsFrance https://t.co/3ApS34SfyE","['admiration', 'confusion']"
313,Finish work at 3pm tomorrow #WorldCup final starts at 3pm tomorrow .. bitches better get out my way 🚗 💨 😂 #WorldCup2022,['caring']
314,World Cup Semi Finals: France v Morocco Reactions https://t.co/BwQAdStQMj via @YouTube #WorldCup2022 #WorldcupQatar2022 #MoroccovsCroatia #Morocco #France,['confusion']
315,"@BBCSport can we please have Peter drury in commentary for tomorrow’s football final?

#WorldcupQatar2022 #WorldCup2022 #ArgentinaVsFrance #WorldCup #BBCWorldCup","['curiosity', 'desire']"
316,"WORLD CUP THIRD PLACE 🥉 
#Croatia scored the winner three mins from the break when Mislav Orsic netted a curled shot from just inside the area that went in off the post. They held their lead through an absorbing yet goalless second half. ⚽ #WorldCup2022
https://t.co/mPir9M68YG","['excitement', 'joy', 'pride']"
317,Thank You Morocco For Making Us Dream Big. #morocco #worldcup2022 #fans_... https://t.co/AbYJFAVYmA via @YouTube,['gratitude']
318,"Win $1,000 by predicting World Cup games. What’s your take on the upcoming game?
@createra_ #createra #worldcup2022 https://t.co/blMIaIIhd9",['curiosity']
319,@KMbappe after finding out that Drake had bet on Argentina to win the world cup !! #FRAARG #WorldCup2022 #champagnePapi 🐈‍⬛🌟🌟🌟 https://t.co/GGdtTgAUWy,"['excitement', 'joy', 'pride', 'realization', 'surprise']"
320,"#WorldCup2022 world

https://t.co/3BrVpaVubl",[]
321,"@UN
 
@elonmusk
 #WorldCup2022 #BanKhamenei 

THE ISLAMIC REPUBLIC REGIME KILLING US 
we are empty handed people 
HELP US IN ANY SHAPE OF HUMANITY YOU CAN ! please... #IRAN","['anger', 'annoyance', 'caring']"
322,"Tomorrow's world cup final will be both FIFA and Argentina against France only... 😂😝
I pray there will be no penalty for Messi also.
#WorldCup2022 #FIFAWorldCup","['desire', 'optimism']"
323,"Congratulations, guys.CROATIA TAKE THE THIRD PLACE!  Greetings from Zagreb🥉🇭🇷❤️
#hrvatska #Worldcup2022 https://t.co/a50CwwC7O0","['excitement', 'gratitude', 'joy', 'surprise']"
324,"3 er - Croatia
4 o - Morocco

1🇲🇦-🇭🇷2

This NFT win the @wwm_algo 
+ 10 $Algo
+ 100 $CCT

And it will be eligible for the draw of 500 $Algo as a winner and another draw of 500 $Algo as a Holder!

https://t.co/i8rtlY5B0W

#AlgovengerWorldCup
#algofifa
#WorldCup2022 https://t.co/s50BO3BBid","['approval', 'excitement', 'pride']"
325,"Paulo during today’s training 🇦🇷💎💙 
Tomorrow ➡️ THE WORLD CUP FINAL 
🇦🇷🇫🇷 

#Dybala #Argentina #France #WorldCup2022 https://t.co/gf3j1BZucI","['confusion', 'excitement', 'realization']"
326,"The population of Qatar is about 3M.
Only 12% of those are Qatari citizens.
The rest are foreigners.

A super interesting country!

#WorldCup #WorldCup2022 #ArgentinaVsFrance https://t.co/81avidudUN","['admiration', 'excitement']"
327,Congratulations Croatia 🇭🇷 for becoming third place in World Cup 2022 Qatar 🇶🇦 #CROMAR #CroatiaVSMorocco #WorldCup2022 #QatarWorldCup #ThirdPlace https://t.co/Nu7WleuBv3,"['excitement', 'gratitude', 'joy', 'pride', 'surprise']"
328,"Croatia won the 🥉🥉🥉 place playoff game beating Morocco 2-1, Thanks to goals from Josko Gvardiol and Mislav Orsic.

Congratulations 🔥🔥👏👏

#KeepItKiss #AllDayEveryDay #Croatia #Morocco #CROMAR #FIFAWorldCup #WorldCup #WorldCup2022 #Qatar #Qatar22 #Qatar2022 #TheScoreKE https://t.co/DJy6XYgBRH",['gratitude']
329,Well done Croatia &amp; great respect for Morocco...it's sooo amazing what joy balls gives us 💖🎄🤶⚽🏆 #WorldCup2022 #CroatiaVSMorocco #football https://t.co/h78eIOYXcD,['admiration']
330,"A USA presence: Referees Elfath, Atkins to work #WorldCup final    https://t.co/6uDjUw9xGS #USSoccer #USSF #WorldCup2022 #Qatar2022","['approval', 'realization']"
331,"@Saudi_Gazette @Saudi_Gazette #WorldCup2022 Franch 2 and Argentina 1
Tomorrow you give me i phone 14☺️☺️☺️","['amusement', 'joy', 'optimism']"
332,"What if the WorldCup was in Palestine...? 
#FreePalestine 🇵🇸
#WorldCup2022 https://t.co/eKLkCafqoN","['confusion', 'curiosity']"
333,You made us proud #Qatar #المغرب_كرواتيا #كرواتيا_المغرب #WorldCup2022 #FIFAWorldCup2022 #WorldCup https://t.co/8AxwIvlEvx,"['excitement', 'pride']"
334,"I predicted France 🇫🇷 will beat Argentina 🇦🇷 in the 2022 World Cup final.
Play @AJEnglish’s #WorldCup2022 AI predictor game.
https://t.co/jKdGiNxe7o","['approval', 'excitement', 'optimism']"
335,"Crowd Turnt at the snap of the fingers, ideally Dean Smith should of left at the start of #WorldCup2022 

First time in a long long time I've heard top Journos describe the club as broken 

Not good and it looks like Deano won't be leaving any time soon #ncfc","['disappointment', 'disapproval']"
336,"Congrats Morocco🙏🏽

#WorldCup2022 https://t.co/ENmtRF6N9H","['excitement', 'gratitude', 'pride']"
337,"Diversity of CHAOS in Europe. By design. 
The legacy media is super silent as always. 
#diversity  #europe #WorldCup2022  #CrimeNews 

 https://t.co/oRT8oIdYEO via @YouTube",['realization']
338,"Really glad FIFA stood up to this One Love armband bullshit, which is simply western countries trying to impose their degenerate values on Muslims. Pushing gay love 🙄is an appalling distortion of what really matters. #FIFA #Qatar #QatarWorldCup #WorldCup2022 #WorldCupFinal https://t.co/xEp6ho5Mnh","['disgust', 'joy', 'love', 'relief']"
339,Ibrahima Konate was spotted in training with the french national team earlier tonight after recovering from an illness. #FRAARG #Liverpool #WorldCup2022 https://t.co/tJ9h5bIX0l,['nervousness']
340,"@HNS_CFF #moe #jubav #more #Dalmatia  #croatia🇭🇷
you underestimated us... 
We are a small nation, but we are big-hearted, fighters and we never give up! Persistent prevail!
3 MEDALS IN 6 WORLD CUPSSSSSSSSSSSSSSSS!!!!!
#croatia  #malonasjeAlnasima! #Croats #worldcup2022 #againstinjustice","['approval', 'optimism', 'pride']"
341,"Croatian legend @lukamodric10 bids farewell to the world stage with bronze as @HNS_CFF finish third in @FIFAWorldCup beating @FRMFOFFICIEL

#FIFAWorldCup #FIFAWorldCupQatar2022 #WorldCup2022 #CroatiaVsMorroco #MoroccovsCroatia #LukaModric #Modricday 

https://t.co/HQKQmSOHSm","['admiration', 'gratitude', 'grief']"
342,"Messi will lift the trophy soon.🇦🇷

#WorldCup2022 #WorldCup #Messi #ArgentinaVsFrance #France #FIFAWorldCup #FIFAWorldCupQatar2022 #FIFAWorldCup2022 https://t.co/6mGVzUjNEh","['confusion', 'excitement', 'optimism']"
343,"During the last 6 World Cups (they weren't selected in 2010), Croatia has won 3 medals. 

1998: 🥉

2018: 🥈

2022: 🥉

Are they geniuses?

#Qatar2022 #WorldCup2022 #Dexsport #CroatiaVSMorocco #web3 https://t.co/MiGbtMm0ou","['admiration', 'confusion', 'curiosity']"
344,"Argentina appears to be slightly more intense than France. So unless France raises their intensity for the final, Argentina will win. #WorldCup2022",['optimism']
345,"Fleur and Vito wearing green and red. Not a good omen, given the 3rd place playoff result earlier. #SCD #WorldCup2022",['disapproval']
346,"#Mickyj0j0sSurveysPolls 
#WorldCup2022- Nov.20- Dec.18
After 63 matches,166 goals and scandal free, how would you Grade/score the Hosts, the Qataris?","['confusion', 'curiosity']"
347,"What the fuck, @FOXSoccer @FOXSports?? Where the fuck is the #CROMAR match?? 
#WorldCup2022","['anger', 'annoyance']"
348,"France 3-0 Argentine
#WorldCup2022","['gratitude', 'relief']"
349,"It's soccer #WorldCup2022 finals tomorrow and we are still experiencing loadshedding 🤦‍♀️ we couldn't even watch today's match because of loadshedding. Oh @Eskom_SA have mercy on us 😱

#FedupWithLoadshedding","['nervousness', 'sadness']"
350,They did what?!?! #WorldCup2022 https://t.co/OS8gJkah8A,"['confusion', 'curiosity', 'surprise']"
351,Ugh! I'm so sorry #morrocco! But y'all showed the world how fierce you truly are and it was inspiring! #WorldCup2022,"['remorse', 'sadness']"
352,"Toni Kroos🗣️: ""For me it's a penalty kick, the referee's decision is correct."" #WorldCup2022 https://t.co/Wwiz1L9KPA",['approval']
353,Finally filmed this one! RANKING EVERY QATAR WORLD CUP 2022 KIT | BEST TO WORST! https://t.co/WXksY28fYm via @YouTube Dropping it in less than an hour 👊🏾 Like &amp; share! #WorldCup2022 #ArgentinaVsFrance,"['confusion', 'joy', 'relief']"
354,Bound Kyle #世界杯 Willa #WorldCup2022 Timothy https://t.co/R8UFMTShlh,"['confusion', 'sadness']"
355,"Who's win?
#WorldCup2022
#mascot https://t.co/VK8feqqkxO","['confusion', 'curiosity']"
356,"Benzema isn't really interested after all 👀
#Benzema #France #WorldCup2022 https://t.co/LPuu0kRKle","['confusion', 'disapproval']"
357,"A frame to remember❤️❤️💝

#Leo | #Messi | #coaching | #argentina | #AFA | #squad | #WorldCup2022  | #FIFA  | #FIFAWorldCup  | #FIFAWorldCup2022Qatar  | #VamosArgentina | #Vamos https://t.co/rOGZD5YchT","['love', 'realization']"
358,What a hot 🔥 ending we've been having in the #WorldCup ... RT and DM to get tomorrow's #WorldCup2022 Final as a #freeplay ... It's a plus money dinger too! #WorldCupFinal #GamblingTwitter #LFG https://t.co/I6DIqdfXTt,['confusion']
359,Proud to be Croat 🇭🇷 #croatia #hrvatska #zagreb #football #tennis #handball #worldcup #qatar #doha #worldcup2022 https://t.co/oAOnwPUTso,"['excitement', 'joy', 'pride']"
360,"PSA: tomorrow ! We open at 7am! We are first come, first serve! We are 21+! We expect the whole party to be here to lay claim to a table! We are NOT taking reservations!
And yes, we are showing the World Cup final! #theglobepubchicago #WorldCup2022","['excitement', 'pride']"
361,Can #Argentina beat the last World Cup campions #France tomorrow? Who will win? #ArgentinaVsFrance #WorldCup2022 #Arg #Fra,"['confusion', 'curiosity']"
362,"All countries are mobilizing around #WorldCup2022 . Let's make sure that the children yet to be born can always play ball, nourished by a rich soil #SaveSoilMovement #ScoreForSoil @cpsavesoil @FIFAWWC @UNCCD @EU_Commission @FAO @SDG2030 https://t.co/gc1w0bBuU4","['approval', 'caring', 'optimism']"
363,I didn’t watch the game. I saw Morocco was losing and that was enough for me. #WorldCup2022,"['disappointment', 'disapproval']"
364,Who will put their country on their back and take home the gold?🤔 Will it be Messi or Mbappé👀 Come find out at CITYPARK tomorrow‼️ Don’t forget to wear your ‘ugly sweaters’😉 #WorldCup2022 @stlCITYsc #AllForCITY #watchparty #stlcitysc https://t.co/GvauPTDNxc,['curiosity']
365,"The lack of dark skinned players on the Argentinian soccer team already say winner to me. ⚽️🇦🇷

#WorldCup2022 #FIFAWorldCup","['excitement', 'pride']"
366,Just found out @Drake picked Argentina to win... 💀💀💀💀 #WorldCup #WorldCup2022 #ArgentinaVsFrance #Messi #drakecurse https://t.co/iwjGi6IZRV,"['excitement', 'pride', 'realization', 'surprise']"
367,"Noisy atmosphere, even on planes. #Argentine fans flock to #Qatar to cheer on their national football team in the World Cup final
#Qatar2022 #WorldCup2022 https://t.co/3lwjMVWaFC","['excitement', 'joy']"
368,"Former &amp; current #Spurs coming home with all the #WorldCup2022 medals
😎👍🤍🏆
AMJO @lukamodric10 &amp; @ivanperisic44 🤗🔥🇭🇷 !!
#COYS #CROMAR #Vatreni #AllSpursForever https://t.co/tpjeSayDOZ","['approval', 'love']"
369,"World cup freestyle challenge and Bruno Fernandez top the list 

#EPL #WorldCup2022 https://t.co/5gGHAiwwJf",['confusion']
370,"You’re one Click away from PREDICTING the most awaited WORLD CUP FINALS, and a chance to win 5000 tokens! 🤑⚽️

Sign up for the SKOR Predictor on https://t.co/FkJyO6ykDJ and start predicting! 

#football #prefictandwin #worldcup #worldcup2022 https://t.co/kB50aBRIck","['approval', 'caring', 'excitement', 'optimism']"
371,"Time for some 𝕋ℝ𝕀𝕍𝕀𝔸! 🤓

✍️Comment your answer &amp; claim a REWARD🏆https://t.co/ujJWWSZZ1h

#worldcup #fifaworldcup #worldcup2022 #soccer #football #footballislife #BestBackgammon🎲 #win #boardgames #backgammon #game #freecoins #bonus #play #LordoftheBoard https://t.co/WOxXvwV8tC","['approval', 'excitement']"
372,"#Francewin
 Farewell to Messi would be fainted but still he is a legend of the game and will fight for Trophy.

 #iweb3 #WorldCup2022  #WorldCup2022 https://t.co/dmmjI3GlzA",['grief']
373,"It is a great honor to be Moroccan.
شكرا
#MoroccovsCroatia #Morocco #WorldCup2022 https://t.co/nizokWbZUW","['admiration', 'pride']"
374,"This sounds crazy but it's quite possibly the right idea...

#FRAARG | #FRA | #WorldCup2022 

More here:

https://t.co/SrXG8NCyz7 https://t.co/0gSReywLiu",['approval']
375,"Tomorrow I'm with you with all my heart
#France #WorldCup2022 https://t.co/3SjVNfvWQA","['caring', 'love']"
376,"Fake Mbappe is ready for the world cup final 🇫🇷🏆🇫🇷
#Qatar2022   

#ARG   #FRA   #ARGFRA #ARGvsFRA #ARGvFRA #FRAARG #FRAvARG #FRAvsARG #WorldCup2022 #WorldCup #Messi #Mbappe #France #Argentina https://t.co/DNNOyg3R2y","['approval', 'excitement']"
